Species,decimalLongitude,decimalLatitude
Vitellaria paradoxa C.F.Gaertn.,3.012195,11.055725
Vitellaria paradoxa C.F.Gaertn.,3.013779,11.055119
Vitellaria paradoxa C.F.Gaertn.,3.01431,11.056304
Vitellaria paradoxa C.F.Gaertn.,3.015738,11.057262
Vitellaria paradoxa C.F.Gaertn.,3.016617,11.056086
Vitellaria paradoxa C.F.Gaertn.,3.010566,11.057172
Vitellaria paradoxa C.F.Gaertn.,3.010923,11.058348
Vitellaria paradoxa C.F.Gaertn.,3.009806,11.05662
Vitellaria paradoxa C.F.Gaertn.,3.013899,11.066207
Vitellaria paradoxa C.F.Gaertn.,3.005429,11.066795
Vitellaria paradoxa C.F.Gaertn.,3.000751,11.067446
Vitellaria paradoxa C.F.Gaertn.,3.014457,11.067572
Vitellaria paradoxa C.F.Gaertn.,3.00803,11.076011
Vitellaria paradoxa C.F.Gaertn.,3.134618,10.362017
Vitellaria paradoxa C.F.Gaertn.,3.141444,10.345327
Vitellaria paradoxa C.F.Gaertn.,3.142423,10.350283
Vitellaria paradoxa C.F.Gaertn.,3.143528,10.350229
Vitellaria paradoxa C.F.Gaertn.,3.140926,10.352409
Vitellaria paradoxa C.F.Gaertn.,3.143294,10.356849
Vitellaria paradoxa C.F.Gaertn.,3.140765,10.358958
Vitellaria paradoxa C.F.Gaertn.,3.140828,10.357908
Vitellaria paradoxa C.F.Gaertn.,3.14111,10.355964
Vitellaria paradoxa C.F.Gaertn.,3.141293,10.355005
Vitellaria paradoxa C.F.Gaertn.,3.139274,10.355838
Vitellaria paradoxa C.F.Gaertn.,3.138937,10.356969
Vitellaria paradoxa C.F.Gaertn.,3.145706,10.358557
Vitellaria paradoxa C.F.Gaertn.,3.134938,10.363139
Vitellaria paradoxa C.F.Gaertn.,3.135503,10.359177
Vitellaria paradoxa C.F.Gaertn.,3.136055,10.326409
Vitellaria paradoxa C.F.Gaertn.,3.137868,10.355866
Vitellaria paradoxa C.F.Gaertn.,3.139209,10.353713
Vitellaria paradoxa C.F.Gaertn.,3.140269,10.353585
Vitellaria paradoxa C.F.Gaertn.,3.13996,10.35629
Vitellaria paradoxa C.F.Gaertn.,3.135558,10.358851
Vitellaria paradoxa C.F.Gaertn.,3.135512,10.359774
Vitellaria paradoxa C.F.Gaertn.,3.142089,10.358839
Vitellaria paradoxa C.F.Gaertn.,3.476514,10.479193
Vitellaria paradoxa C.F.Gaertn.,3.525569,10.465179
Vitellaria paradoxa C.F.Gaertn.,3.494796,10.512122
Vitellaria paradoxa C.F.Gaertn.,3.445439,10.42406
Vitellaria paradoxa C.F.Gaertn.,3.404065,10.47668
Vitellaria paradoxa C.F.Gaertn.,3.482918,10.478623
Vitellaria paradoxa C.F.Gaertn.,3.51595,10.48861
Vitellaria paradoxa C.F.Gaertn.,3.008726,10.458106
Vitellaria paradoxa C.F.Gaertn.,3.015825,10.424352
Vitellaria paradoxa C.F.Gaertn.,3.144851,10.345444
Vitellaria paradoxa C.F.Gaertn.,3.141434,10.364448
Vitellaria paradoxa C.F.Gaertn.,3.020037,10.434292
Vitellaria paradoxa C.F.Gaertn.,3.142031,10.351324
Vitellaria paradoxa C.F.Gaertn.,3.270844,10.467614
Vitellaria paradoxa C.F.Gaertn.,3.268869,10.476732
Vitellaria paradoxa C.F.Gaertn.,3.268633,10.435482
Vitellaria paradoxa C.F.Gaertn.,3.270126,10.386596
Vitellaria paradoxa C.F.Gaertn.,3.272322,10.401707
Vitellaria paradoxa C.F.Gaertn.,3.35737,10.396279
Vitellaria paradoxa C.F.Gaertn.,3.35711,10.417044
Vitellaria paradoxa C.F.Gaertn.,3.367732,10.374995
Vitellaria paradoxa C.F.Gaertn.,3.363242,10.378989
Vitellaria paradoxa C.F.Gaertn.,3.298548,10.360198
Vitellaria paradoxa C.F.Gaertn.,3.287095,10.351662
Vitellaria paradoxa C.F.Gaertn.,3.282812,10.383836
Vitellaria paradoxa C.F.Gaertn.,3.305694,10.362669
